,Airfield,Flight_ID,Sch_Departure,Act_Departure,Time_of_Day,Period_of_Week,Day_of_Week,Month,Season,Year,tot_pass,N,min,mean,median,max,mean_WTL,mean_City_Flag,mode_BFO_Dest_City,sum_city_mode,N_of_Dest_City,mode_BFO_Dest_Country_Code,sum_country_mode,N_of_Dest_Country,Delay_in_Seconds
88,AUC,18182,2028/9/4 13:07,2028/9/4 13:07,3 - AFTERNOON,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,43,41,1,3.024390244,3,5,0,0,VES033,43,1,VES,43,1,0
89,AUC,18183,2028/9/4 13:34,2028/9/4 13:34,3 - AFTERNOON,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,33,32,1,2.375,2,5,0,0,BORCWL,33,1,BOR,33,1,0
90,AUC,18184,2028/9/4 13:41,2028/9/4 14:41,3 - AFTERNOON,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,13,12,1,2.083333333,2,4,0,0,VES064,13,1,VES,13,1,3600
91,AUC,18185,2028/9/4 14:36,2028/9/4 14:36,3 - AFTERNOON,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,21,18,1,2.444444444,2,4,0,0,BORQUE,21,1,BOR,21,1,0
92,AUC,18186,2028/9/4 14:38,2028/9/4 14:38,3 - AFTERNOON,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,14,13,2,2.538461538,2,4,0,0,BORQUE,14,1,BOR,14,1,0
93,AUC,18187,2028/9/4 15:06,2028/9/4 17:06,3 - AFTERNOON,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,38,36,2,2.861111111,3,5,0,0,BORQUE,38,1,BOR,38,1,7200
94,AUC,18188,2028/9/4 15:51,2028/9/4 15:51,3 - AFTERNOON,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,34,33,1,2.606060606,2,5,0,0,BORCWL,34,1,BOR,34,1,0
95,AUC,18189,2028/9/4 16:30,2028/9/4 17:51,4 - EVENING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,41,39,1,2.615384615,3,4,0,0,BORQUE,41,1,BOR,41,1,4860
96,AUC,18190,2028/9/4 17:12,2028/9/4 18:36,4 - EVENING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,40,33,1,2.393939394,2,5,0,0,VES033,40,1,VES,40,1,5040
97,AUC,18191,2028/9/4 18:37,2028/9/4 18:37,4 - EVENING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,36,34,1,2.441176471,2,4,0,0,BORQUE,36,1,BOR,36,1,0
98,AUC,18192,2028/9/4 19:05,2028/9/4 19:41,4 - EVENING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,24,23,2,3.217391304,3,6,0,0,BORCWL,24,1,BOR,24,1,2160
99,AUC,18193,2028/9/4 19:20,2028/9/4 21:06,4 - EVENING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,23,23,1,3.086956522,3,6,0,0,BORCWL,23,1,BOR,23,1,6360
100,AUC,18194,2028/9/4 19:21,2028/9/4 20:26,4 - EVENING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,16,16,1,3.125,3,5,0,0,BORQUE,16,1,BOR,16,1,3900
101,AUC,18195,2028/9/4 19:45,2028/9/4 21:41,4 - EVENING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,11,9,2,4.222222222,5,6,0,0,VES033,11,1,VES,11,1,6960
102,AUC,18196,2028/9/4 20:01,2028/9/4 21:36,4 - EVENING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,22,21,1,2.761904762,3,4,0,0,BORCWL,22,1,BOR,22,1,5700
103,AUC,18197,2028/9/4 20:06,2028/9/4 21:51,4 - EVENING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,4,4,1,2,2,3,0,0,VES064,4,1,VES,4,1,6300
104,AUC,18198,2028/9/4 20:26,2028/9/4 20:26,4 - EVENING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,18,18,1,2.111111111,2,4,0,0,BORQUE,18,1,BOR,18,1,0
105,AUC,18199,2028/9/4 21:10,2028/9/4 21:10,4 - EVENING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,17,16,1,2.1875,2,3,0,0,BORQUE,17,1,BOR,17,1,0
106,AUC,18200,2028/9/4 21:41,2028/9/4 21:41,4 - EVENING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,28,13,1,1.769230769,2,3,0,0,BORQUE,28,1,BOR,28,1,0
107,AUC,18201,2028/9/5 8:06,2028/9/5 8:06,2 - MORNING,1 - WEEKDAY,2 - TUE,9-Sep,3 - SUMMER,2028,35,32,3,7.375,7,13,0,0,BORQUE,35,1,BOR,35,1,0
108,AUC,18202,2028/9/5 8:13,2028/9/5 8:13,2 - MORNING,1 - WEEKDAY,2 - TUE,9-Sep,3 - SUMMER,2028,9,6,3,5.666666667,6,9,0,0,VES033,9,1,VES,9,1,0
109,AUC,18203,2028/9/5 8:21,2028/9/5 9:02,2 - MORNING,1 - WEEKDAY,2 - TUE,9-Sep,3 - SUMMER,2028,5,5,7,12.2,13,14,0,0,BORCWL,5,1,BOR,5,1,2460
110,AUC,18204,2028/9/5 8:24,2028/9/5 8:24,2 - MORNING,1 - WEEKDAY,2 - TUE,9-Sep,3 - SUMMER,2028,31,28,2,8.642857143,9,14,0,0,BORQUE,31,1,BOR,31,1,0
111,AUC,18205,2028/9/5 8:36,2028/9/5 8:36,2 - MORNING,1 - WEEKDAY,2 - TUE,9-Sep,3 - SUMMER,2028,17,14,3,9.214285714,10,15,0,0,BORCWL,17,1,BOR,17,1,0
112,AUC,18206,2028/9/5 8:46,2028/9/5 8:46,2 - MORNING,1 - WEEKDAY,2 - TUE,9-Sep,3 - SUMMER,2028,14,9,9,11.77777778,12,17,0,0,BORQUE,14,1,BOR,14,1,0
113,AUC,18207,2028/9/5 9:06,2028/9/5 9:06,2 - MORNING,1 - WEEKDAY,2 - TUE,9-Sep,3 - SUMMER,2028,16,15,3,10.66666667,11,17,0,0,VES064,16,1,VES,16,1,0
114,AUC,18208,2028/9/5 9:31,2028/9/5 9:31,2 - MORNING,1 - WEEKDAY,2 - TUE,9-Sep,3 - SUMMER,2028,7,6,2,4.333333333,3,11,0,0,BORQUE,7,1,BOR,7,1,0
115,AUC,18209,2028/9/5 9:36,2028/9/5 9:36,2 - MORNING,1 - WEEKDAY,2 - TUE,9-Sep,3 - SUMMER,2028,15,15,1,4.933333333,2,13,0,0,BORCWL,15,1,BOR,15,1,0
116,AUC,18210,2028/9/5 10:06,2028/9/5 10:06,2 - MORNING,1 - WEEKDAY,2 - TUE,9-Sep,3 - SUMMER,2028,11,9,1,3.111111111,2,6,0,0,NEN003,11,1,NEN,11,1,0
117,AUC,18211,2028/9/5 10:11,2028/9/5 10:11,2 - MORNING,1 - WEEKDAY,2 - TUE,9-Sep,3 - SUMMER,2028,32,29,1,2.724137931,2,7,0,0,BORCWL,32,1,BOR,32,1,0
118,AUC,18212,2028/9/5 12:01,2028/9/5 12:01,3 - AFTERNOON,1 - WEEKDAY,2 - TUE,9-Sep,3 - SUMMER,2028,44,18,1,3.277777778,2,7,0,0,BORQUE,44,1,BOR,44,1,0
119,AUC,18213,2028/9/5 12:06,2028/9/5 12:06,3 - AFTERNOON,1 - WEEKDAY,2 - TUE,9-Sep,3 - SUMMER,2028,28,4,2,2.5,2,4,0,0,BORQUE,28,1,BOR,28,1,0
